"Base","Front","Thumb","Back","Action","Note"
"dakota-jordan__san-francisco-giants__bd-139","dakota-jordan__san-francisco-giants__bd-139__front.webp","dakota-jordan__san-francisco-giants__bd-139__front.webp","","MISSING_BACK","No back found for this front"
"luke-lacourse__angels__1st-bowman","luke-lacourse__angels__1st-bowman__front.webp","luke-lacourse__angels__1st-bowman__front.webp","","MISSING_BACK","No back found for this front"
"patrick-forbes__bowman-draft-2025","patrick-forbes__bowman-draft-2025__front.webp","patrick-forbes__bowman-draft-2025__front.webp","","MISSING_BACK","No back found for this front"
"gavin-turley__athletics__bd-28__1st-bowman","gavin-turley__athletics__bd-28__1st-bowman__front.webp","","gavin-turley__athletics__bd-28__1st-bowman__back.webp","MISSING_THUMB","No thumb found for this front"
"jordan-yost__detroit-tigers__bd-162__1st-bowman","jordan-yost__detroit-tigers__bd-162__1st-bowman__front.webp","","jordan-yost__detroit-tigers__bd-162__1st-bowman__back.webp","MISSING_THUMB","No thumb found for this front"
"luke-lacourse__angels__1st-bowman","luke-lacourse__angels__1st-bowman__front.webp","","","MISSING_THUMB","No thumb found for this front"
"aidan-miller__philadelphia-phillies__bd-180","aidan-miller__philadelphia-phillies__bd-180__front.webp","aidan-miller__philadelphia-phillies__bd-180__front.webp","aidan-miller__philadelphia-phillies__bd-180__back.webp","OK_BACK","Back matches expected name"
"alfredo-duno__cincinnati-reds__bd-133","alfredo-duno__cincinnati-reds__bd-133__front.webp","alfredo-duno__cincinnati-reds__bd-133__front.webp","alfredo-duno__cincinnati-reds__bd-133__back.webp","OK_BACK","Back matches expected name"
"blake-mitchell__kansas-city-royals__bd-160","blake-mitchell__kansas-city-royals__bd-160__front.webp","blake-mitchell__kansas-city-royals__bd-160__front.webp","blake-mitchell__kansas-city-royals__bd-160__back.webp","OK_BACK","Back matches expected name"
"cade-obermueller__philadelphia-phillies__bd-80","cade-obermueller__philadelphia-phillies__bd-80__front.webp","cade-obermueller__philadelphia-phillies__bd-80__front.webp","cade-obermueller__philadelphia-phillies__bd-80__back.webp","OK_BACK","Back matches expected name"
"charlie-condon__colorado-rockies__bowman-draft-2025__bd-136","charlie-condon__colorado-rockies__bowman-draft-2025__bd-136__front.webp","charlie-condon__colorado-rockies__bowman-draft-2025__bd-136__front.webp","charlie-condon__colorado-rockies__bowman-draft-2025__bd-136__back.webp","OK_BACK","Back matches expected name"
"cody-miller__atlanta-braves__bd-91","cody-miller__atlanta-braves__bd-91__front.webp","cody-miller__atlanta-braves__bd-91__front.webp","cody-miller__atlanta-braves__bd-91__back.webp","OK_BACK","Back matches expected name"
"cooper-flemming__tampa-bay-rays__bd-166","cooper-flemming__tampa-bay-rays__bd-166__front.webp","cooper-flemming__tampa-bay-rays__bd-166__front.webp","cooper-flemming__tampa-bay-rays__bd-166__back.webp","OK_BACK","Back matches expected name"
"ethan-hedges__colorado-rockies__bd-148","ethan-hedges__colorado-rockies__bd-148__front.webp","ethan-hedges__colorado-rockies__bd-148__front.webp","ethan-hedges__colorado-rockies__bd-148__back.webp","OK_BACK","Back matches expected name"
"gavin-turley__athletics__bd-28__1st-bowman","gavin-turley__athletics__bd-28__1st-bowman__front.webp","gavin-turley__athletics__bd-28__1st-bowman__front.webp","gavin-turley__athletics__bd-28__1st-bowman__back.webp","OK_BACK","Back matches expected name"
"grant-richardson__athletics__bd-171","grant-richardson__athletics__bd-171__front.webp","grant-richardson__athletics__bd-171__front.webp","grant-richardson__athletics__bd-171__back.webp","OK_BACK","Back matches expected name"
"hagen-smith__chicago-white-sox__bd-167","hagen-smith__chicago-white-sox__bd-167__front.webp","hagen-smith__chicago-white-sox__bd-167__front.webp","hagen-smith__chicago-white-sox__bd-167__back.webp","OK_BACK","Back matches expected name"
"jb-middleton__colorado-rockies__bd-78","jb-middleton__colorado-rockies__bd-78__front.webp","jb-middleton__colorado-rockies__bd-78__front.webp","jb-middleton__colorado-rockies__bd-78__back.webp","OK_BACK","Back matches expected name"
"j-d-thompson__milwaukee-brewers__bd-14","j-d-thompson__milwaukee-brewers__bd-14__front.webp","j-d-thompson__milwaukee-brewers__bd-14__front.webp","j-d-thompson__milwaukee-brewers__bd-14__back.webp","OK_BACK","Back matches expected name"
"jefferson-rojas__chicago-cubs__bd-75","jefferson-rojas__chicago-cubs__bd-75__front.webp","jefferson-rojas__chicago-cubs__bd-75__front.webp","jefferson-rojas__chicago-cubs__bd-75__back.webp","OK_BACK","Back matches expected name"
"jordan-yost__detroit-tigers__bd-162__1st-bowman","jordan-yost__detroit-tigers__bd-162__1st-bowman__front.webp","jordan-yost__detroit-tigers__bd-162__1st-bowman__front.webp","jordan-yost__detroit-tigers__bd-162__1st-bowman__back.webp","OK_BACK","Back matches expected name"
"josh-hammond__kansas-city-royals__bd-185","josh-hammond__kansas-city-royals__bd-185__front.webp","josh-hammond__kansas-city-royals__bd-185__front.webp","josh-hammond__kansas-city-royals__bd-185__back.webp","OK_BACK","Back matches expected name"
"josh-owens__texas-rangers__bd-119","josh-owens__texas-rangers__bd-119__front.webp","josh-owens__texas-rangers__bd-119__front.webp","josh-owens__texas-rangers__bd-119__back.webp","OK_BACK","Back matches expected name"
"kade-anderson__seattle-mariners__bd-3","kade-anderson__seattle-mariners__bd-3__front.webp","kade-anderson__seattle-mariners__bd-3__front.webp","kade-anderson__seattle-mariners__bd-3__back.webp","OK_BACK","Back matches expected name"
"kaelen-culpepper__minnesota-twins__bd-120","kaelen-culpepper__minnesota-twins__bd-120__front.webp","kaelen-culpepper__minnesota-twins__bd-120__front.webp","kaelen-culpepper__minnesota-twins__bd-120__back.webp","OK_BACK","Back matches expected name"
"kaleb-wing__chicago-cubs__bd-131","kaleb-wing__chicago-cubs__bd-131__front.webp","kaleb-wing__chicago-cubs__bd-131__front.webp","kaleb-wing__chicago-cubs__bd-131__back.webp","OK_BACK","Back matches expected name"
"landyn-vidourek__los-angeles-dodgers__bd-158","landyn-vidourek__los-angeles-dodgers__bd-158__front.webp","landyn-vidourek__los-angeles-dodgers__bd-158__front.webp","landyn-vidourek__los-angeles-dodgers__bd-158__back.webp","OK_BACK","Back matches expected name"
"mason-neville__cincinnati-reds__bd-109","mason-neville__cincinnati-reds__bd-109__front.webp","mason-neville__cincinnati-reds__bd-109__front.webp","mason-neville__cincinnati-reds__bd-109__back.webp","OK_BACK","Back matches expected name"
"matthew-fisher__philadelphia-phillies__bd-106","matthew-fisher__philadelphia-phillies__bd-106__front.webp","matthew-fisher__philadelphia-phillies__bd-106__front.webp","matthew-fisher__philadelphia-phillies__bd-106__back.webp","OK_BACK","Back matches expected name"
"mitch-voit__new-york-mets__bd-71","mitch-voit__new-york-mets__bd-71__front.webp","mitch-voit__new-york-mets__bd-71__front.webp","mitch-voit__new-york-mets__bd-71__back.webp","OK_BACK","Back matches expected name"
"nick-becker__seattle-mariners__bd-100","nick-becker__seattle-mariners__bd-100__front.webp","nick-becker__seattle-mariners__bd-100__front.webp","nick-becker__seattle-mariners__bd-100__back.webp","OK_BACK","Back matches expected name"
"pico-kohn__new-york-yankees__bd-52","pico-kohn__new-york-yankees__bd-52__front.webp","pico-kohn__new-york-yankees__bd-52__front.webp","pico-kohn__new-york-yankees__bd-52__back.webp","OK_BACK","Back matches expected name"
"riley-quick__minnesota-twins__bd-23","riley-quick__minnesota-twins__bd-23__front.webp","riley-quick__minnesota-twins__bd-23__front.webp","riley-quick__minnesota-twins__bd-23__back.webp","OK_BACK","Back matches expected name"
"ryan-wideman__san-diego-padres__bd-190","ryan-wideman__san-diego-padres__bd-190__front.webp","ryan-wideman__san-diego-padres__bd-190__front.webp","ryan-wideman__san-diego-padres__bd-190__back.webp","OK_BACK","Back matches expected name"
"sadaharu-oh__yomiuri-giants__bd-201","sadaharu-oh__yomiuri-giants__bd-201__front.webp","sadaharu-oh__yomiuri-giants__bd-201__front.webp","sadaharu-oh__yomiuri-giants__bd-201__back.webp","OK_BACK","Back matches expected name"
"sean-youngerman__philadelphia-phillies__bd-104","sean-youngerman__philadelphia-phillies__bd-104__front.webp","sean-youngerman__philadelphia-phillies__bd-104__front.webp","sean-youngerman__philadelphia-phillies__bd-104__back.webp","OK_BACK","Back matches expected name"
"sebastian-walcott__texas-rangers__bd-169","sebastian-walcott__texas-rangers__bd-169__front.webp","sebastian-walcott__texas-rangers__bd-169__front.webp","sebastian-walcott__texas-rangers__bd-169__back.webp","OK_BACK","Back matches expected name"
"shotaro-morii__athletics__bd-174","shotaro-morii__athletics__bd-174__front.webp","shotaro-morii__athletics__bd-174__front.webp","shotaro-morii__athletics__bd-174__back.webp","OK_BACK","Back matches expected name"
"tanner-franklin__st-louis-cardinals__bd-90","tanner-franklin__st-louis-cardinals__bd-90__front.webp","tanner-franklin__st-louis-cardinals__bd-90__front.webp","tanner-franklin__st-louis-cardinals__bd-90__back.webp","OK_BACK","Back matches expected name"
"thomas-white__miami-marlins__bd-26","thomas-white__miami-marlins__bd-26__front.webp","thomas-white__miami-marlins__bd-26__front.webp","thomas-white__miami-marlins__bd-26__back.webp","OK_BACK","Back matches expected name"
"tommy-white__athletics__bd-88","tommy-white__athletics__bd-88__front.webp","tommy-white__athletics__bd-88__front.webp","tommy-white__athletics__bd-88__back.webp","OK_BACK","Back matches expected name"
"xavier-neyens__houston-astros__bd-2","xavier-neyens__houston-astros__bd-2__front.webp","xavier-neyens__houston-astros__bd-2__front.webp","xavier-neyens__houston-astros__bd-2__back.webp","OK_BACK","Back matches expected name"
"yolfran-castillo__texas-rangers__bowman-draft-2025__bd-107","yolfran-castillo__texas-rangers__bowman-draft-2025__bd-107__front.webp","yolfran-castillo__texas-rangers__bowman-draft-2025__bd-107__front.webp","yolfran-castillo__texas-rangers__bowman-draft-2025__bd-107__back.webp","OK_BACK","Back matches expected name"
"zach-root__los-angeles-dodgers__bd-22","zach-root__los-angeles-dodgers__bd-22__front.webp","zach-root__los-angeles-dodgers__bd-22__front.webp","zach-root__los-angeles-dodgers__bd-22__back.webp","OK_BACK","Back matches expected name"
"aidan-miller__philadelphia-phillies__bd-180","aidan-miller__philadelphia-phillies__bd-180__front.webp","aidan-miller__philadelphia-phillies__bd-180__front.webp","aidan-miller__philadelphia-phillies__bd-180__back.webp","OK_THUMB","Thumb matches front filename"
"alfredo-duno__cincinnati-reds__bd-133","alfredo-duno__cincinnati-reds__bd-133__front.webp","alfredo-duno__cincinnati-reds__bd-133__front.webp","alfredo-duno__cincinnati-reds__bd-133__back.webp","OK_THUMB","Thumb matches front filename"
"blake-mitchell__kansas-city-royals__bd-160","blake-mitchell__kansas-city-royals__bd-160__front.webp","blake-mitchell__kansas-city-royals__bd-160__front.webp","blake-mitchell__kansas-city-royals__bd-160__back.webp","OK_THUMB","Thumb matches front filename"
"cade-obermueller__philadelphia-phillies__bd-80","cade-obermueller__philadelphia-phillies__bd-80__front.webp","cade-obermueller__philadelphia-phillies__bd-80__front.webp","cade-obermueller__philadelphia-phillies__bd-80__back.webp","OK_THUMB","Thumb matches front filename"
"charlie-condon__colorado-rockies__bowman-draft-2025__bd-136","charlie-condon__colorado-rockies__bowman-draft-2025__bd-136__front.webp","charlie-condon__colorado-rockies__bowman-draft-2025__bd-136__front.webp","charlie-condon__colorado-rockies__bowman-draft-2025__bd-136__back.webp","OK_THUMB","Thumb matches front filename"
"cody-miller__atlanta-braves__bd-91","cody-miller__atlanta-braves__bd-91__front.webp","cody-miller__atlanta-braves__bd-91__front.webp","cody-miller__atlanta-braves__bd-91__back.webp","OK_THUMB","Thumb matches front filename"
"cooper-flemming__tampa-bay-rays__bd-166","cooper-flemming__tampa-bay-rays__bd-166__front.webp","cooper-flemming__tampa-bay-rays__bd-166__front.webp","cooper-flemming__tampa-bay-rays__bd-166__back.webp","OK_THUMB","Thumb matches front filename"
"dakota-jordan__san-francisco-giants__bd-139","dakota-jordan__san-francisco-giants__bd-139__front.webp","dakota-jordan__san-francisco-giants__bd-139__front.webp","","OK_THUMB","Thumb matches front filename"
"ethan-hedges__colorado-rockies__bd-148","ethan-hedges__colorado-rockies__bd-148__front.webp","ethan-hedges__colorado-rockies__bd-148__front.webp","ethan-hedges__colorado-rockies__bd-148__back.webp","OK_THUMB","Thumb matches front filename"
"grant-richardson__athletics__bd-171","grant-richardson__athletics__bd-171__front.webp","grant-richardson__athletics__bd-171__front.webp","grant-richardson__athletics__bd-171__back.webp","OK_THUMB","Thumb matches front filename"
"hagen-smith__chicago-white-sox__bd-167","hagen-smith__chicago-white-sox__bd-167__front.webp","hagen-smith__chicago-white-sox__bd-167__front.webp","hagen-smith__chicago-white-sox__bd-167__back.webp","OK_THUMB","Thumb matches front filename"
"jb-middleton__colorado-rockies__bd-78","jb-middleton__colorado-rockies__bd-78__front.webp","jb-middleton__colorado-rockies__bd-78__front.webp","jb-middleton__colorado-rockies__bd-78__back.webp","OK_THUMB","Thumb matches front filename"
"j-d-thompson__milwaukee-brewers__bd-14","j-d-thompson__milwaukee-brewers__bd-14__front.webp","j-d-thompson__milwaukee-brewers__bd-14__front.webp","j-d-thompson__milwaukee-brewers__bd-14__back.webp","OK_THUMB","Thumb matches front filename"
"jefferson-rojas__chicago-cubs__bd-75","jefferson-rojas__chicago-cubs__bd-75__front.webp","jefferson-rojas__chicago-cubs__bd-75__front.webp","jefferson-rojas__chicago-cubs__bd-75__back.webp","OK_THUMB","Thumb matches front filename"
"josh-hammond__kansas-city-royals__bd-185","josh-hammond__kansas-city-royals__bd-185__front.webp","josh-hammond__kansas-city-royals__bd-185__front.webp","josh-hammond__kansas-city-royals__bd-185__back.webp","OK_THUMB","Thumb matches front filename"
"josh-owens__texas-rangers__bd-119","josh-owens__texas-rangers__bd-119__front.webp","josh-owens__texas-rangers__bd-119__front.webp","josh-owens__texas-rangers__bd-119__back.webp","OK_THUMB","Thumb matches front filename"
"kade-anderson__seattle-mariners__bd-3","kade-anderson__seattle-mariners__bd-3__front.webp","kade-anderson__seattle-mariners__bd-3__front.webp","kade-anderson__seattle-mariners__bd-3__back.webp","OK_THUMB","Thumb matches front filename"
"kaelen-culpepper__minnesota-twins__bd-120","kaelen-culpepper__minnesota-twins__bd-120__front.webp","kaelen-culpepper__minnesota-twins__bd-120__front.webp","kaelen-culpepper__minnesota-twins__bd-120__back.webp","OK_THUMB","Thumb matches front filename"
"kaleb-wing__chicago-cubs__bd-131","kaleb-wing__chicago-cubs__bd-131__front.webp","kaleb-wing__chicago-cubs__bd-131__front.webp","kaleb-wing__chicago-cubs__bd-131__back.webp","OK_THUMB","Thumb matches front filename"
"landyn-vidourek__los-angeles-dodgers__bd-158","landyn-vidourek__los-angeles-dodgers__bd-158__front.webp","landyn-vidourek__los-angeles-dodgers__bd-158__front.webp","landyn-vidourek__los-angeles-dodgers__bd-158__back.webp","OK_THUMB","Thumb matches front filename"
"mason-neville__cincinnati-reds__bd-109","mason-neville__cincinnati-reds__bd-109__front.webp","mason-neville__cincinnati-reds__bd-109__front.webp","mason-neville__cincinnati-reds__bd-109__back.webp","OK_THUMB","Thumb matches front filename"
"matthew-fisher__philadelphia-phillies__bd-106","matthew-fisher__philadelphia-phillies__bd-106__front.webp","matthew-fisher__philadelphia-phillies__bd-106__front.webp","matthew-fisher__philadelphia-phillies__bd-106__back.webp","OK_THUMB","Thumb matches front filename"
"mitch-voit__new-york-mets__bd-71","mitch-voit__new-york-mets__bd-71__front.webp","mitch-voit__new-york-mets__bd-71__front.webp","mitch-voit__new-york-mets__bd-71__back.webp","OK_THUMB","Thumb matches front filename"
"nick-becker__seattle-mariners__bd-100","nick-becker__seattle-mariners__bd-100__front.webp","nick-becker__seattle-mariners__bd-100__front.webp","nick-becker__seattle-mariners__bd-100__back.webp","OK_THUMB","Thumb matches front filename"
"patrick-forbes__bowman-draft-2025","patrick-forbes__bowman-draft-2025__front.webp","patrick-forbes__bowman-draft-2025__front.webp","","OK_THUMB","Thumb matches front filename"
"pico-kohn__new-york-yankees__bd-52","pico-kohn__new-york-yankees__bd-52__front.webp","pico-kohn__new-york-yankees__bd-52__front.webp","pico-kohn__new-york-yankees__bd-52__back.webp","OK_THUMB","Thumb matches front filename"
"riley-quick__minnesota-twins__bd-23","riley-quick__minnesota-twins__bd-23__front.webp","riley-quick__minnesota-twins__bd-23__front.webp","riley-quick__minnesota-twins__bd-23__back.webp","OK_THUMB","Thumb matches front filename"
"ryan-wideman__san-diego-padres__bd-190","ryan-wideman__san-diego-padres__bd-190__front.webp","ryan-wideman__san-diego-padres__bd-190__front.webp","ryan-wideman__san-diego-padres__bd-190__back.webp","OK_THUMB","Thumb matches front filename"
"sadaharu-oh__yomiuri-giants__bd-201","sadaharu-oh__yomiuri-giants__bd-201__front.webp","sadaharu-oh__yomiuri-giants__bd-201__front.webp","sadaharu-oh__yomiuri-giants__bd-201__back.webp","OK_THUMB","Thumb matches front filename"
"sean-youngerman__philadelphia-phillies__bd-104","sean-youngerman__philadelphia-phillies__bd-104__front.webp","sean-youngerman__philadelphia-phillies__bd-104__front.webp","sean-youngerman__philadelphia-phillies__bd-104__back.webp","OK_THUMB","Thumb matches front filename"
"sebastian-walcott__texas-rangers__bd-169","sebastian-walcott__texas-rangers__bd-169__front.webp","sebastian-walcott__texas-rangers__bd-169__front.webp","sebastian-walcott__texas-rangers__bd-169__back.webp","OK_THUMB","Thumb matches front filename"
"shotaro-morii__athletics__bd-174","shotaro-morii__athletics__bd-174__front.webp","shotaro-morii__athletics__bd-174__front.webp","shotaro-morii__athletics__bd-174__back.webp","OK_THUMB","Thumb matches front filename"
"tanner-franklin__st-louis-cardinals__bd-90","tanner-franklin__st-louis-cardinals__bd-90__front.webp","tanner-franklin__st-louis-cardinals__bd-90__front.webp","tanner-franklin__st-louis-cardinals__bd-90__back.webp","OK_THUMB","Thumb matches front filename"
"thomas-white__miami-marlins__bd-26","thomas-white__miami-marlins__bd-26__front.webp","thomas-white__miami-marlins__bd-26__front.webp","thomas-white__miami-marlins__bd-26__back.webp","OK_THUMB","Thumb matches front filename"
"tommy-white__athletics__bd-88","tommy-white__athletics__bd-88__front.webp","tommy-white__athletics__bd-88__front.webp","tommy-white__athletics__bd-88__back.webp","OK_THUMB","Thumb matches front filename"
"xavier-neyens__houston-astros__bd-2","xavier-neyens__houston-astros__bd-2__front.webp","xavier-neyens__houston-astros__bd-2__front.webp","xavier-neyens__houston-astros__bd-2__back.webp","OK_THUMB","Thumb matches front filename"
"yolfran-castillo__texas-rangers__bowman-draft-2025__bd-107","yolfran-castillo__texas-rangers__bowman-draft-2025__bd-107__front.webp","yolfran-castillo__texas-rangers__bowman-draft-2025__bd-107__front.webp","yolfran-castillo__texas-rangers__bowman-draft-2025__bd-107__back.webp","OK_THUMB","Thumb matches front filename"
"zach-root__los-angeles-dodgers__bd-22","zach-root__los-angeles-dodgers__bd-22__front.webp","zach-root__los-angeles-dodgers__bd-22__front.webp","zach-root__los-angeles-dodgers__bd-22__back.webp","OK_THUMB","Thumb matches front filename"
"tommy-troy__arizona-diamondbacks__bd-36","","","tommy-troy__arizona-diamondbacks__bd-36__back.webp","ORPHAN_BACK","Back exists but no matching front in this set folder (maybe moved to other Bowman folder)"
