OldName,NewName,CardCode,Player,MinorTeam,Status,Note
IMG_3881.JPEG,,,,,NO_CODE,"rot=0,roi_name='topright_tight',vname='bin2',psm=6: -- -2 - - - - - - 7 - -F - BF 7 7 A Y - - D 4 27 P 88 - P J - 7 - OT - 2 - 7 - -- OO 7 Y"
IMG_3883.JPEG,,,,,NO_CODE,"rot=0,roi_name='topright_tight',vname='bin2',psm=6: 2"
IMG_3885.JPEG,,,,,NO_CODE,"rot=0,roi_name='topright_wide',vname='raw',psm=6: Z3 - SE"
IMG_3887.JPEG,,,,,NO_CODE,"rot=0,roi_name='topright_wide',vname='raw',psm=6: AZ O W VY 4 X 2"
IMG_3889.JPEG,,,,,NO_CODE,"rot=0,roi_name='topright_wide',vname='raw',psm=6: 1 P7 S - L SS 4"
IMG_3891.JPEG,,,,,NO_CODE,"rot=0,roi_name='topright_wide',vname='raw',psm=6: - YY 7"
IMG_3893.JPEG,,,,,NO_CODE,"rot=0,roi_name='topright_wide',vname='raw',psm=6: C X A 4 P- - - P"
IMG_3895.JPEG,,,,,NO_CODE,"rot=0,roi_name='topright_wide',vname='raw',psm=7: 1"
IMG_3897.JPEG,,,,,NO_CODE,"rot=0,roi_name='topright_wide',vname='raw',psm=6: D 5 82 SS E 5"
IMG_3899.JPEG,,,,,NO_CODE,"rot=0,roi_name='topright_wide',vname='raw',psm=6: 44 OC 2 R G2 P"
IMG_3901.JPEG,,,,,NO_CODE,"rot=0,roi_name='topright_wide',vname='raw',psm=6: - 2 OS --"
IMG_3903.JPEG,,,,,NO_CODE,"rot=0,roi_name='topright_tight',vname='bin2',psm=6: S"
IMG_3908.JPEG,,,,,NO_CODE,"rot=0,roi_name='topright_wide',vname='raw',psm=6: - M- G 2 S"
IMG_3910.JPEG,,,,,NO_CODE,"rot=0,roi_name='topright_wide',vname='raw',psm=6: J -"
IMG_3912.JPEG,,,,,NO_CODE,"rot=0,roi_name='topright_tight',vname='bin2',psm=6: S F"
IMG_3914.JPEG,,,,,NO_CODE,"rot=0,roi_name='topright_tight',vname='invbin',psm=6: 4B6EREX4 S 055 75M G R SNA ARAK"
IMG_3916.JPEG,,,,,NO_CODE,"rot=0,roi_name='topright_wide',vname='raw',psm=6: 1 V SH P I -"
IMG_3918.JPEG,,,,,NO_CODE,"rot=0,roi_name='topright_tight',vname='bin2',psm=6: - 2 T-A - A 2"
IMG_3920.JPEG,,,,,NO_CODE,"rot=0,roi_name='topright_tight',vname='invbin',psm=6: - - - - - - 5 Y - - --7 4 T Y PP - - - - C"
IMG_3922.JPEG,,,,,NO_CODE,"rot=0,roi_name='topright_tight',vname='invbin2',psm=6: CG E"
IMG_3924.JPEG,,,,,NO_CODE,"rot=0,roi_name='topright_tight',vname='invbin',psm=6: Y -W-- -3 AFAP-- 4 S AS E B LS EE"
IMG_3926.JPEG,,,,,NO_CODE,"rot=0,roi_name='topright_tight',vname='bin2',psm=6: 3 C"
IMG_3928.JPEG,,,,,NO_CODE,"rot=0,roi_name='topright_wide',vname='raw',psm=6: PS TT 1"
IMG_3930.JPEG,,,,,NO_CODE,"rot=0,roi_name='topright_wide',vname='raw',psm=6: 1 WA 1 S -"
IMG_3932.JPEG,,,,,NO_CODE,"rot=0,roi_name='topright_wide',vname='raw',psm=6: SA C"
IMG_3934.JPEG,,,,,NO_CODE,"rot=0,roi_name='topright_wide',vname='raw',psm=6: A I"
IMG_3936.JPEG,,,,,NO_CODE,"rot=0,roi_name='topright_wide',vname='raw',psm=6: -"
IMG_3938.JPEG,,,,,NO_CODE,"rot=0,roi_name='topright_tight',vname='invbin2',psm=6: FRE SS O WA 2K L V A"
IMG_3940.JPEG,,,,,NO_CODE,"rot=0,roi_name='topright_tight',vname='bin2',psm=6: -"
IMG_3942.JPEG,,,,,NO_CODE,"rot=0,roi_name='topright_wide',vname='raw',psm=6: V 1 B -"
IMG_3944.JPEG,,,,,NO_CODE,"rot=0,roi_name='topright_tight',vname='invbin2',psm=6: - - 4 VA - 4 4 AG 7 N A - - 4 4 4 3"
IMG_3946.JPEG,,,,,NO_CODE,"rot=0,roi_name='topright_wide',vname='raw',psm=6: - 7 - 3"
IMG_3951.JPEG,,,,,NO_CODE,"rot=0,roi_name='topright_wide',vname='raw',psm=6: 5 Z Z 3 S- SF 2 S-"
IMG_3953.JPEG,,,,,NO_CODE,"rot=0,roi_name='topright_wide',vname='raw',psm=6: -18 PS"
IMG_3955.JPEG,,,,,NO_CODE,"rot=0,roi_name='topright_wide',vname='raw',psm=6: A G OS SE A G9 E"
IMG_3957.JPEG,,,,,NO_CODE,"rot=0,roi_name='topright_wide',vname='raw',psm=6: E- 3D 7 -P DE 4"
